recipeID,recipeName,instruction,time,numberOfIngredients,rating,ingredients,picture
11,Grilled Salmon,"DIRECTIONS:

1. Season salmon fillets with lemon pepper, garlic powder, and salt.

2. In a small bowl, stir together soy sauce, brown sugar, water, and vegetable oil until sugar is dissolved. Place fish in a large resealable plastic bag with the soy sauce mixture, seal, and turn to coat. Refrigerate for at least 2 hours.

3. Preheat grill for medium heat.

4. Lightly oil grill grate. Place salmon on the preheated grill, and discard marinade. Cook salmon for 6 to 8 minutes per side, or until the fish flakes easily with a fork.",150,3,4,"INGREDIENTS:
1 1/2 pounds salmon fillets
lemon pepper to taste
garlic powder to taste
salt to taste
1/3 cup soy sauce
1/3 cup brown sugar
1/3 cup water
1/4 cup vegetable oil",http://lh6.ggpht.com/wV-AyjWXPSuMzk80GqvomH6UidIG4hb-gCWUwDq6DzOkHHGAQx4QY5bbrtih9sqErhRxY6VCUkQd3Yu1YOBdXN4=s730-c-e365
12,Honey Grilled Shrimp,"DIRECTIONS:

1. In a small bowl, combine the salad dressing, honey and garlic; set aside 1/2 cup. Pour remaining marinade into a large resealable plastic bag; add the shrimp. Seal bag and turn to coat; refrigerate for 30 minutes. Cover and refrigerate reserved marinade for basting.

2. Drain and discard marinade. Thread shrimp onto eight metal or soaked wooden skewers. Moisten a paper towel with cooking oil; using long-handled tongs, rub on grill rack to coat lightly.

3. Grill, uncovered, over medium heat or broil 4 in. from the heat for 1 to 1-1/2 minutes on each side. Baste with reserved marinade. Grill or broil 3-4 minutes longer or until shrimp turn pink, turning and basting frequently.",20,2,5,"INGREDIENTS:
1 bottle (8 ounces) Italian salad dressing
 1 cup honey
 1/2 teaspoon minced garlic
 2 pounds uncooked medium shrimp, peeled and deveined",http://lh3.ggpht.com/xrqsnSDMPuKTf90Yo8V1xn-BBl3VdlH68NHBoCFI9t0866P7VFqY60fajmXdSkSQaB7wGCvdsuNoZGSYdDDQSw=s730-c-e365
13,Grilled Vegetables,"DIRECTIONS:

1. Place a grill pan over medium-high heat or prepare the barbecue (medium-high heat). Brush the vegetables with 1/4 cup of the oil to coat lightly. Sprinkle the vegetables with salt and pepper. 

2. Working in batches, grill the vegetables until tender and lightly charred all over, about 8 to 10 minutes for the bell peppers; 7 minutes for the yellow squash, zucchini, eggplant, and mushrooms; 4 minutes for the asparagus and green onions. Arrange the vegetables on a platter. The key to getting those great grill marks is to not shift the vegetables too frequently once they've been placed on the hot grill.

3. Meanwhile, whisk the remaining 2 tablespoons of oil, balsamic vinegar, garlic, parsley, basil, and rosemary in a small bowl to blend. Add salt and pepper to taste. Drizzle the herb mixture over the vegetables. Serve the vegetables, warm or at room temperature.",40,10,5,"INGREDIENTS:
3 red bell peppers, seeded and halved
3 yellow squash (about 1 pound total), sliced lengthwise into 1/2-inch-thick rectangles
3 zucchini (about 12 ounces total), sliced lengthwise into 1/2-inch-thick rectangles
3 Japanese eggplant (12 ounces total), sliced lengthwise into 1/2-inch-thick rectangles
12 cremini mushrooms
1 bunch (1-pound) asparagus, trimmed
12 green onions, roots cut off
1/4 cup plus 2 tablespoons olive oil
Salt and freshly ground black pepper
3 tablespoons balsamic vinegar
2 garlic cloves, minced
1 teaspoon chopped fresh Italian parsley leaves
1 teaspoon chopped fresh basil leaves
1/2 teaspoon finely chopped fresh rosemary leaves",http://lh6.ggpht.com/bu--lxZsfKo-1leNXwoeQ8Td1_KQAR6mrslGOw4zTToyHvQsdlUhriz0eW4ei9zbR7MNqMKI70q_3A9M3yz4Qw=s730-e365
14,Grilled Chicken with Kale,"DIRECTIONS:

1. Preheat the oven to 425 degrees F. Toss the potatoes with 1/2 tablespoon olive oil on a rimmed baking sheet; spread in a single layer and roast 5 minutes. Toss the kale in a large bowl with the garlic, 1/2 tablespoon olive oil, 1/4 teaspoon salt, and pepper to taste. Add to the baking sheet with the potatoes and toss. Roast until the kale is crisp and the potatoes are tender, stirring once, 15 to 20 minutes.

2. Meanwhile, preheat a grill or grill pan to medium and brush with olive oil. Slice the chicken breasts in half horizontally to make 4 cutlets. Coat evenly with 1/2 tablespoon olive oil and season with salt and pepper. 

3. Grill the chicken until well marked and cooked through, 2 to 4 minutes per side. Transfer to a plate.

4. Toss the kale, potatoes, the remaining 1/2 tablespoon olive oil, the salad greens, tomatoes, parmesan, lemon juice, and salt and pepper to taste in a large bowl. Divide the chicken among plates and top with any collected juices. Serve with the kale salad.",40,9,4,"INGREDIENTS:
1/2 pound small red-skinned potatoes, cut into 1/2-inch pieces
2 tablespoons extra-virgin olive oil, plus more for brushing
1 large bunch kale, stems removed, leaves torn (about 10 cups)
3 cloves garlic, thinly sliced
Kosher salt and freshly ground pepper
2 large skinless, boneless chicken breasts (about 1 1/2 pounds)
4 cups mixed salad greens
1/2 cup cherry tomatoes, halved
1/3 cup grated parmesan cheese
1 tablespoon fresh lemon juice",http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2012/3/8/1/FNM_040112-WN-Dinners-003-0_s3x4.jpg.rend.sni12col.landscape.jpeg
15,Grilled Philly Cheese Steak,"DIRECTIONS:

1. Preheat grill to high. Melt butter in a medium saucepan on top of the grates of the grill. Whisk in flour and cook for 1 minute. Add the milk and cook until thickened. Whisk in the cheese and cook until melted. Add dry mustard and season with salt and pepper. Keep warm.

2. Brush filets with oil on both sides and season with salt and pepper. Grill for 2 to 3 minutes on each side for rare, which is desired for this sandwich. Let rest for 5 minutes and then slice into 1/8-inch thick slices.

3. Slice 7/8 of the way through the rolls and fill each with several slices of the beef, cheese sauce, and any or all of the toppings. Return sandwiches to the grill, close top, and grill very briefly just to heat through.",25,9,4,"INGREDIENTS:
2 tablespoons unsalted butter
2 tablespoons all-purpose flour
2 cups whole milk
1 1/2 to 2 cups grated sharp yellow Cheddar
2 teaspoons dry mustard
Salt and freshly ground pepper
2 filet mignons, 12 to 16 ounces each
2 tablespoons olive oil
4 soft Italian rolls, split and grilled
Toppings:
Grilled yellow and red onions, coarsely chopped
Grilled mushrooms, sliced
Grilled green peppers, sliced
Grilled Cubano peppers, sliced",http://lh3.ggpht.com/9Nu6093AcI_t63I88lvTf5BNumw5spx3Y-ONHIme7GfIJDfnHIXvNqVY-2lO_4_m-a7XeWeEnaE8ekXCCH1Bmw=s730-c-e365
16,Cookie Dough Blizzard,"DIRECTIONS:

1. Place all cookie dough ingredients (except chocolate chips) into your food processor and blend until cookie dough consistency.

2. Remove from food processor, place in a bowl and fold in chocolate chips.
Set aside.

3. In the food processor place ice cream ingredients and blend until smooth.

4. Add cookie dough mixture in dollops into the food processor with the ice cream.
Pulse a couple times.

5. Remove from food processor, feel free to top with 1 tbsp of chocolate chips, crushed nuts, and/or shredded coconut and serve.

6. Individual Ice Cream Cake Directions – If you are making the individual cookie dough ice cream cakes simply place blended mixture into your ice cream sandwich molds and freeze overnight.
Immediately before serving remove from ice cream sandwich molds, place onto a plate, add coconut whipped cream and chocolate ganache if desired.

7. Cookie Dough Blizzard on a Stick Directions – Place mixture into popsicle molds and freeze overnight. Serve immediately out of the freezer as these get soft quickly.",5,9,4,"INGREDIENTS:
Cookie Dough Ingredients:
1/2 Cup Natural Peanuts
1/2 Cup Natural Cashews
1/2 Cup Pitted Dates
1 Tsp Vanilla Extract
2 Tbsp Maple Syrup
1/3 Cup Dark Chocolate Chips (or Carob Chips)

Ice Cream Ingredients:
4 Chopped, Frozen Bananas
Pinch of Salts
6 Packets of Stevia (or 2 Tbsp of Maple Syrup
1 Tsp Cinnamon
1 Cup Light Coconut Milk
1/4 Cup Shredded Coconut",http://lh4.ggpht.com/TtBlIbgsphbDWYErvyTM7LFY7qrb3_yHFRuzlLvUMXNhPhJBuwR8AiD1tWCw8Zzk4HnB4rL1R3mzrL8wqH-G=s730-c-e365
17,Vegan Cheesecake,"DIRECTIONS:

1. Add dates to a food processor and blend until small bits remain and it forms into a ball. Remove and set aside.

2. Next add nuts and process into a meal. Then add dates back in and blend until a loose dough forms - it should stick together when you squeeze a bit between your fingers. If it's too dry, add a few more dates through the spout while processing. If too wet, add more almond or walnut meal. Optional: add a pinch of salt to taste.

3. Lightly grease a standard, 12 slot muffin tin. To make removing the cheesecakes easier, cut strips of parchment paper and lay them in the slots. This creates little tabs that makes removing them easier to pop out once frozen.

4. Next scoop in heaping 1 Tbsp amounts of crust and press with fingers. To pack it down, use a small glass or the back of a spoon to compact it and really press it down. I found the bottom of a glass works well. If it sticks, separate the crust and the glass with a small piece of parchment. Set in freezer to firm up.

5. Add all filling ingredients to a blender and mix until very smooth. For the coconut milk, I like to scoop the ""cream"" off the top because it provides a richer texture. But if yours is already all mixed together, just add it in as is.

6. You don't need a Vitamix for this recipe, just a quality blender. I mixed mine for 1 minute, then ""liquified"" or ""pureed"" it until silky smooth. If it won't come together, add a touch more lemon juice or agave or a splash more coconut milk liquid as the liquid should help it blend better.

7. Taste and adjust seasonings as needed. If adding peanut butter, add to the blender and mix until thoroughly combined. If flavoring with blueberry or caramel, wait and swirl on top of plain cheesecakes (optional).

8. Divide filling evenly among the muffin tins. Tap a few times to release any air bubbles, then cover with plastic wrap and freeze until hard - about 4-6 hours.

9. Once set, remove by tugging on the tabs or loosening them with a butter knife. They should pop right out. Add more caramel or top with whipped coconut cream if you desire.  Keep in the freezer for up to 1-2 weeks.
Optional: you can set them out for 10 minutes before serving to soften.",20,8,5,"INGREDIENTS:
Crust:
1 cup pitted dates (soaked in warm water for 10 minutes then drained)
1 cup raw walnuts or almonds
Filling:
1.5 cups raw cashews, soaked in water 4-6 hours then drained
1 large lemon, juiced (scant 1/4 cup)
1/3 cup coconut oil, melted
1/2 cup + 2 Tbsp full fat coconut milk (see instructions for note)
1/2 cup agave nectar or maple syrup (or honey if not vegan)
Optional Flavor Add-Ins:
2 Tbsp salted natural peanut butter
1/4 cup wild blueberries (fresh or frozen)
3 Tbsp bourbon caramel sauce",http://lh3.ggpht.com/jFibUDTVTnJxIMu16XJqefs0ktisHcjHANtP3BEyS6Zm1IOw3wp849aJa4N9DHuoZJIWBt6ZGVP5rYsm4a_3hA=s730-c-e365
18,Sushi Rolls,"DIRECTIONS:

1. Rinse the rice in cold water while stirring briskly to remove any dirt. Drain the rice completely. Place the rice and the 6 cups of water in a medium sized saucepan and cover it with a tight fitting lid. Bring the water to a boil over medium heat. Allow the water to boil for 3 minutes and then reduce the heat to low and continue cooking 15 minutes without removing the lid. Remove the rice from the heat and remove the lid (the water should no longer be visible). Turn the rice out evenly on a well-greased cookie sheet using a spatula or rice paddle. Sprinkle the rice with the vinegar, sugar, and salt while mixing with a spatula or rice paddle until the rice reaches body temperature. Keep the rice covered with damp paper towels or napkin until the rice is ready to use.

2. Place a nori sheet lengthwise on a bamboo rolling mat, shiny-side down. Position the sheet about 1-inch from the edge of the mat closest to you and leave some of the bamboo mat exposed on either side of the nori sheet. 

3. Wet your hands in cool water and take a handful of sushi rice. Place the rice in the center of the nori and use your fingers to spread the rice evenly over the nori. Be sure to leave a 3/4-inch strip of nori uncovered on the far side. 

4. Place tuna strips and some julienne vegetable, cucumber or avocado along the center of the rice. Be careful not to overfill the nori. Place your fingertips over the fillings to hold them in place. Then, use your thumbs to lift up the edge of the bamboo rolling mat closest to you. Begin rolling the mat away from you, while applying pressure to the fillings to keep the roll firm. Roll the mat over slowly until it covers the rice and the near and far sides of rice join, still leaving the 3/4-inch strip of nori, rice-free, exposed. While holding the bamboo mat in position, apply pressure to the roll with your fingers to make the roll firm. Slice the roll in half, then cut both rolls twice to make 6 equal sized pieces. Repeat this process with the salmon and various fillings, nori and rice.",55,7,5,"INGREDIENTS:
5 sheets nori
2 cups sushi rice, recipe follows
2 ounces sushi-grade tuna, cut into1/4 by 1/2 by 3-inch strips
2 ounces sushi-grade salmon, cut into1/4 by 1/2 by 3-inch strips
1 hot house cucumber, julienne
1 carrot, peeled and julienne
1/2 avocado, thinly sliced",http://lh4.ggpht.com/T3rf4wG10XSg4yiQQ4kE2fQqX07lJiaO58LndRvb3A8S4N0fXS2YsUFzcE_ooozlMPUZNtVGVNoPIbpd6yLbG5I=s730-e365
19,Peach Salsa with Raw Veggie Crackers,"DIRECTIONS:

1. Place tomato, onion and zucchini in food processor and process until smooth. 

2. Add ground flax, Braggs and salt and pepper and process until incorporated. 

3. Spread 1/4-inch thick on non-stick dehydrator sheet.

4. Dehydrate at 145 for 1 hour*, reduce heat and dehydrate until dry. 12-24 hours, removing to screens halfway through dehydration.",90,8,5,"INGREDIENTS:
Salsa:
2 peaches, peeled and diced
1 medium tomato, diced
1/2 red onion, diced
1 lime, juice from
1/2 jalapeño pepper, seeded and white membrane removed, finely diced
2-4 tablespoons finely chopped cilantro (to taste, I like lots)
Himalayan salt to taste
1. Mix all ingredients in bowl. Chill.
Veggie Crackers:
1 medium tomato
1 medium onion
2 medium zucchini, chopped into one-inch slices
1 cup freshly ground golden flax
2 tablespoons Braggs Liquid Aminos 
Himalayan salt and fresh ground pepper to taste",http://lh3.ggpht.com/byBpVmXzQa3uVi5MK8mGxVaJYf67LiBkRPmWzazdFjqpKuCLqj8WJ_phBtyvnLOjm7mVhzVD93PGuDnB92qI=s730-e365
20,Steak Tartare,"DIRECTIONS:

1. Combine anchovies (if using), capers, and mustard in a nonreactive bowl. Using a fork or the back of a spoon, mash ingredients until evenly combined; mix in egg yolks. 

2. Use a rubber spatula to fold remaining ingredients into mustard mixture until thoroughly combined. Season well with salt and freshly ground black pepper. Serve immediately with toast points or french fries.",5,10,4,"INGREDIENTS:
3 medium oil-packed anchovy fillets (optional, adjust salt if added), rinsed and minced
2 teaspoons brined capers, drained and rinsed
3 teaspoons Dijon mustard
2 large egg yolks
10 ounces USDA prime beef tenderloin, cut into small dice, covered, and refrigerated
2 tablespoons finely chopped red onion
2 tablespoons finely chopped Italian parsley leaves
4 teaspoons olive oil
3 dashes hot sauce (such as Tabasco)
4 dashes Worcestershire sauce
3/4 teaspoon crushed chile flakes (optional)",http://lh4.ggpht.com/faOH7E7DMqbqj2NyeQur-QVpDifOQ0dsFrKPBcPr0wKW7PC-qoQPCagpSUKDr3C5lQek2tjlKvRlqL1-DAMBhNI=s730-c-e365
21,Microwave Baked Potato,"DIRECTIONS:

1. Scrub the potato, and prick several time with the tines of a fork. Place on a plate.

2. Cook on full power in the microwave for 5 minutes. Turn over, and continue to cook for 5 more minutes. When the potato is soft, remove from the microwave, and cut in half lengthwise. Season with salt and pepper, and mash up the inside a little using a fork. Top the open sides with butter and 2 tablespoons of cheese. Return to the microwave, and cook for about 1 minute to melt the cheese.

3. Top with remaining cheese and sour cream, and serve.",12,5,4,"INGREDIENTS:
1 large russet potato
1 tablespoon butter or margarine
3 tablespoons shredded Cheddar cheese
salt to taste
pepper to taste
3 teaspoons sour cream",http://lh5.ggpht.com/kh6VjBwci_bOLw3jHIvydJDY6mXPNwJFvG9oCqqyA_hQqSjGq7cTa8o3ZBKqDvS4CoCo1nNkyVzddMEgm_DzkA=s730-c-e365
22,One Bowl Chocolate Fudge,"DIRECTIONS:

1. Line an 8x8 inch square dish with aluminum foil.

2. Chop chocolate and place in a large, microwave safe bowl with condensed milk. Microwave on high, stirring once or twice until chocolate is soft, 2 to 3 minutes. Remove from oven and stir until completely smooth. Stir in vanilla and walnuts. Spread in prepared pan.

3. Refrigerate 2 hours, until firm. Cut into squares.",138,4,5,"INGREDIENTS:
16 ounces semisweet chocolate
1 (14 ounce) can sweetened condensed milk
2 teaspoons vanilla extract
1 1/2 cups chopped walnuts",http://lh5.ggpht.com/Z7dXjHVTkN9qSwk3AsNHQ-3QanjVzMw2qnYAKYUpl9qapFaE2L5PNKayWCk3HaMTXxf9eVvaT-IVEeXNwpG7vQ=s730-c-e365
